"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-HIP-KNEE-HRRP,258,,1.1735,5.4150,4.6146,17,07/01/2016,06/30/2019
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-CABG-HRRP,268,,1.1868,13.8076,11.6339,41,07/01/2016,06/30/2019
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-AMI-HRRP,620,,1.0204,15.9416,15.6225,100,07/01/2016,06/30/2019
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-HF-HRRP,1107,,1.0702,23.4423,21.9048,264,07/01/2016,06/30/2019
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-COPD-HRRP,444,,1.0560,19.6598,18.6179,92,07/01/2016,06/30/2019
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-PN-HRRP,594,,0.9232,15.7486,17.0594,88,07/01/2016,06/30/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-COPD-HRRP,591,,0.9562,17.0502,17.8307,97,07/01/2016,06/30/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-AMI-HRRP,N/A,,0.9156,15.5809,17.0164,Too Few to Report,07/01/2016,06/30/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HF-HRRP,304,,1.0267,21.1525,20.6023,66,07/01/2016,06/30/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-PN-HRRP,625,,0.9796,15.1040,15.4186,93,07/01/2016,06/30/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9705,4.3234,4.4548,Too Few to Report,07/01/2016,06/30/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-CABG-HRRP,130,,1.0450,12.2931,11.7632,17,07/01/2016,06/30/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-AMI-HRRP,443,,0.9166,13.0581,14.2461,53,07/01/2016,06/30/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HIP-KNEE-HRRP,392,,1.1624,4.6458,3.9969,21,07/01/2016,06/30/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-PN-HRRP,764,,1.0523,16.5547,15.7317,130,07/01/2016,06/30/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-COPD-HRRP,565,,0.9531,17.0053,17.8425,92,07/01/2016,06/30/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HF-HRRP,771,,0.8630,18.0749,20.9450,130,07/01/2016,06/30/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-PN-HRRP,200,,1.0448,15.0216,14.3773,33,07/01/2016,06/30/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HF-HRRP,83,,1.1240,21.1410,18.8080,25,07/01/2016,06/30/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-COPD-HRRP,136,,0.9899,18.2871,18.4730,24,07/01/2016,06/30/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-PN-HRRP,N/A,,0.9655,13.6691,14.1577,Too Few to Report,07/01/2016,06/30/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-COPD-HRRP,N/A,,0.9889,16.4755,16.6601,Too Few to Report,07/01/2016,06/30/2019
ST. VINCENT'S EAST,010011,AL,READM-30-AMI-HRRP,158,,1.0611,14.9800,14.1174,27,07/01/2016,06/30/2019
ST. VINCENT'S EAST,010011,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9656,4.8706,5.0442,Too Few to Report,07/01/2016,06/30/2019
ST. VINCENT'S EAST,010011,AL,READM-30-PN-HRRP,391,,0.9799,15.9590,16.2858,61,07/01/2016,06/30/2019
ST. VINCENT'S EAST,010011,AL,READM-30-COPD-HRRP,260,,0.9297,17.7900,19.1350,40,07/01/2016,06/30/2019
