"Fiscal Year","Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","MORT-30-AMI Achievement Threshold","MORT-30-AMI Benchmark","MORT-30-AMI Baseline Rate","MORT-30-AMI Performance Rate","MORT-30-AMI Achievement Points","MORT-30-AMI Improvement Points","MORT-30-AMI Measure Score","MORT-30-COPD Achievement Threshold","MORT-30-COPD Benchmark","MORT-30-COPD Baseline Rate","MORT-30-COPD Performance Rate","MORT-30-COPD Achievement Points","MORT-30-COPD Improvement Points","MORT-30-COPD Measure Score","MORT-30-HF Achievement Threshold","MORT-30-HF Benchmark","MORT-30-HF Baseline Rate","MORT-30-HF Performance Rate","MORT-30-HF Achievement Points","MORT-30-HF Improvement Points","MORT-30-HF Measure Score","MORT-30-PN Achievement Threshold","MORT-30-PN Benchmark","MORT-30-PN Baseline Rate","MORT-30-PN Performance Rate","MORT-30-PN Achievement Points","MORT-30-PN Improvement Points","MORT-30-PN Measure Score","COMP-HIP-KNEE Achievement Threshold","COMP-HIP-KNEE Benchmark","COMP-HIP-KNEE Baseline Rate","COMP-HIP-KNEE Performance Rate","COMP-HIP-KNEE Achievement Points","COMP-HIP-KNEE Improvement Points","COMP-HIP-KNEE Measure Score"
"2021","010001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",Houston,"0.860355","0.879714","0.877357","0.882417","10 out of 10","9 out of 9","10 out of 10","0.923253","0.938664","0.906994","0.916271","0 out of 10","2 out of 9","2 out of 10","0.883803","0.906144","0.872864","0.884091","1 out of 10","3 out of 9","3 out of 10","0.836122","0.870506","0.839550","0.856831","6 out of 10","5 out of 9","6 out of 10","0.031157","0.022418","0.038723","0.022755","9 out of 10","9 out of 9","9 out of 10"
"2021","010005",MARSHALL MEDICAL CENTERS SOUTH CAMPUS,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",Marshall,"0.860355","0.879714","0.834912","0.863123","2 out of 10","6 out of 9","6 out of 10","0.923253","0.938664","0.926762","0.909185","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.834666","0.839635","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.789121","0.829630","0 out of 10","4 out of 9","4 out of 10","0.031157","0.022418","0.028136","0.022954","9 out of 10","9 out of 9","9 out of 10"
"2021","010006",NORTH ALABAMA MEDICAL CENTER,"1701 VETERANS DRIVE",FLORENCE,AL,"35630",Lauderdale,"0.860355","0.879714","0.834732","0.846499","0 out of 10","2 out of 9","2 out of 10","0.923253","0.938664","0.927502","0.907195","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.844205","0.869563","0 out of 10","4 out of 9","4 out of 10","0.836122","0.870506","0.816658","0.829283","0 out of 10","2 out of 9","2 out of 10","0.031157","0.022418","0.030368","0.028330","3 out of 10","2 out of 9","3 out of 10"
"2021","010007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",Covington,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.910191","0.910767","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.872227","0.865232","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.804147","0.821593","0 out of 10","2 out of 9","2 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",Jefferson,"0.860355","0.879714","0.864104","0.844339","0 out of 10","0 out of 9","0 out of 10","0.923253","0.938664","0.921830","0.905678","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.880879","0.890020","3 out of 10","3 out of 9","3 out of 10","0.836122","0.870506","0.823334","0.831356","0 out of 10","1 out of 9","1 out of 10","0.031157","0.022418","0.038918","0.023604","8 out of 10","9 out of 9","9 out of 10"
"2021","010012",DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE",FORT PAYNE,AL,"35968",DeKalb,"0.860355","0.879714","0.834493","0.866151","3 out of 10","7 out of 9","7 out of 10","0.923253","0.938664","0.911899","0.924036","1 out of 10","4 out of 9","4 out of 10","0.883803","0.906144","0.872479","0.854975","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.728621","0.841014","2 out of 10","7 out of 9","7 out of 10","0.031157","0.022418","0.030066",Not Available,Not Available,Not Available,Not Available
"2021","010016",SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET NORTH",ALABASTER,AL,"35007",Shelby,"0.860355","0.879714","0.876938","0.879108","9 out of 10","7 out of 9","9 out of 10","0.923253","0.938664","0.909124","0.915147","0 out of 10","2 out of 9","2 out of 10","0.883803","0.906144","0.864997","0.877525","0 out of 10","3 out of 9","3 out of 10","0.836122","0.870506","0.839201","0.849208","4 out of 10","3 out of 9","4 out of 10","0.031157","0.022418","0.028243","0.025647","6 out of 10","4 out of 9","6 out of 10"
"2021","010019",HELEN KELLER MEMORIAL HOSPITAL,"1300 SOUTH MONTGOMERY AVENUE",SHEFFIELD,AL,"35660",Colbert,"0.860355","0.879714","0.850976","0.868829","4 out of 10","6 out of 9","6 out of 10","0.923253","0.938664","0.915478","0.929034","4 out of 10","5 out of 9","5 out of 10","0.883803","0.906144","0.872035","0.879549","0 out of 10","2 out of 9","2 out of 10","0.836122","0.870506","0.805752","0.833197","0 out of 10","4 out of 9","4 out of 10","0.031157","0.022418","0.020565","0.024027","8 out of 10","0 out of 9","8 out of 10"
"2021","010021",DALE MEDICAL CENTER,"126 HOSPITAL AVE",OZARK,AL,"36360",Dale,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.929937","0.925335","2 out of 10","0 out of 9","2 out of 10","0.883803","0.906144","0.892921","0.890663","3 out of 10","0 out of 9","3 out of 10","0.836122","0.870506","0.857278","0.849605","4 out of 10","0 out of 9","4 out of 10","0.031157","0.022418","0.040222",Not Available,Not Available,Not Available,Not Available
"2021","010023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",Montgomery,"0.860355","0.879714","0.872969","0.872313","6 out of 10","0 out of 9","6 out of 10","0.923253","0.938664","0.910546","0.904536","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.889675","0.881242","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.834962","0.819159","0 out of 10","0 out of 9","0 out of 10","0.031157","0.022418","0.022024","0.018693","10 out of 10","9 out of 9","10 out of 10"
"2021","010024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",Montgomery,"0.860355","0.879714","0.851545","0.857554","0 out of 10","2 out of 9","2 out of 10","0.923253","0.938664","0.904263","0.900439","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.901826","0.874743","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.811422","0.857394","6 out of 10","7 out of 9","7 out of 10","0.031157","0.022418","0.024502","0.034177","0 out of 10","0 out of 9","0 out of 10"
"2021","010029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",Lee,"0.860355","0.879714","0.846126","0.868658","4 out of 10","6 out of 9","6 out of 10","0.923253","0.938664","0.932354","0.919547","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.884408","0.860584","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.811957","0.817149","0 out of 10","0 out of 9","0 out of 10","0.031157","0.022418","0.032543","0.033426","0 out of 10","0 out of 9","0 out of 10"
"2021","010033",UNIVERSITY OF ALABAMA HOSPITAL,"619 SOUTH 19TH STREET",BIRMINGHAM,AL,"35233",Jefferson,"0.860355","0.879714","0.861085","0.874271","7 out of 10","7 out of 9","7 out of 10","0.923253","0.938664","0.931521","0.924128","1 out of 10","0 out of 9","1 out of 10","0.883803","0.906144","0.884634","0.901288","8 out of 10","7 out of 9","8 out of 10","0.836122","0.870506","0.849297","0.864463","8 out of 10","7 out of 9","8 out of 10","0.031157","0.022418","0.034064","0.029798","2 out of 10","3 out of 9","3 out of 10"
"2021","010034",COMMUNITY HOSPITAL INC,"805 FRIENDSHIP ROAD",TALLASSEE,AL,"36078",Elmore,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.926361","0.928921","4 out of 10","2 out of 9","4 out of 10","0.883803","0.906144","0.904016","0.904416","9 out of 10","1 out of 9","9 out of 10","0.836122","0.870506","0.867866","0.841838","2 out of 10","0 out of 9","2 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010035",CULLMAN REGIONAL MEDICAL CENTER,"1912 ALABAMA HIGHWAY 157",CULLMAN,AL,"35058",Cullman,"0.860355","0.879714","0.861784","0.865174","3 out of 10","1 out of 9","3 out of 10","0.923253","0.938664","0.916816","0.917432","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.868302","0.876359","0 out of 10","2 out of 9","2 out of 10","0.836122","0.870506","0.799246","0.825353","0 out of 10","3 out of 9","3 out of 10","0.031157","0.022418","0.033003","0.031138","1 out of 10","1 out of 9","1 out of 10"
