facility_name,facility_id,measure_name,number_of_discharges,excess_readmission_ratio,number_of_readmissions
SOUTHEAST ALABAMA MEDICAL CENTER,10001,READM-30-HIP-KNEE-HRRP,258.0,1.1735,17
SOUTHEAST ALABAMA MEDICAL CENTER,10001,READM-30-CABG-HRRP,268.0,1.1868,41
SOUTHEAST ALABAMA MEDICAL CENTER,10001,READM-30-AMI-HRRP,620.0,1.0204,100
SOUTHEAST ALABAMA MEDICAL CENTER,10001,READM-30-HF-HRRP,1107.0,1.0702,264
SOUTHEAST ALABAMA MEDICAL CENTER,10001,READM-30-COPD-HRRP,444.0,1.056,92
SOUTHEAST ALABAMA MEDICAL CENTER,10001,READM-30-PN-HRRP,594.0,0.9232,88
MARSHALL MEDICAL CENTERS,10005,READM-30-COPD-HRRP,591.0,0.9562,97
MARSHALL MEDICAL CENTERS,10005,READM-30-HF-HRRP,304.0,1.0267,66
MARSHALL MEDICAL CENTERS,10005,READM-30-PN-HRRP,625.0,0.9796,93
NORTH ALABAMA MEDICAL CENTER,10006,READM-30-CABG-HRRP,130.0,1.045,17
NORTH ALABAMA MEDICAL CENTER,10006,READM-30-AMI-HRRP,443.0,0.9166,53
NORTH ALABAMA MEDICAL CENTER,10006,READM-30-HIP-KNEE-HRRP,392.0,1.1624,21
NORTH ALABAMA MEDICAL CENTER,10006,READM-30-PN-HRRP,764.0,1.0523,130
NORTH ALABAMA MEDICAL CENTER,10006,READM-30-COPD-HRRP,565.0,0.9531,92
NORTH ALABAMA MEDICAL CENTER,10006,READM-30-HF-HRRP,771.0,0.863,130
MIZELL MEMORIAL HOSPITAL,10007,READM-30-PN-HRRP,200.0,1.0448,33
MIZELL MEMORIAL HOSPITAL,10007,READM-30-HF-HRRP,83.0,1.124,25
MIZELL MEMORIAL HOSPITAL,10007,READM-30-COPD-HRRP,136.0,0.9899,24
ST. VINCENT'S EAST,10011,READM-30-AMI-HRRP,158.0,1.0611,27
ST. VINCENT'S EAST,10011,READM-30-PN-HRRP,391.0,0.9799,61
ST. VINCENT'S EAST,10011,READM-30-COPD-HRRP,260.0,0.9297,40
ST. VINCENT'S EAST,10011,READM-30-HF-HRRP,434.0,0.9291,82
ST. VINCENT'S EAST,10011,READM-30-CABG-HRRP,82.0,1.2155,19
DEKALB REGIONAL MEDICAL CENTER,10012,READM-30-PN-HRRP,380.0,0.9623,52
DEKALB REGIONAL MEDICAL CENTER,10012,READM-30-COPD-HRRP,176.0,1.0069,29
DEKALB REGIONAL MEDICAL CENTER,10012,READM-30-AMI-HRRP,84.0,1.0634,16
DEKALB REGIONAL MEDICAL CENTER,10012,READM-30-HF-HRRP,176.0,1.0652,41
SHELBY BAPTIST MEDICAL CENTER,10016,READM-30-COPD-HRRP,217.0,1.0063,42
SHELBY BAPTIST MEDICAL CENTER,10016,READM-30-AMI-HRRP,179.0,0.9052,20
SHELBY BAPTIST MEDICAL CENTER,10016,READM-30-PN-HRRP,359.0,1.0528,64
SHELBY BAPTIST MEDICAL CENTER,10016,READM-30-HF-HRRP,329.0,0.9727,71
HELEN KELLER HOSPITAL,10019,READM-30-COPD-HRRP,419.0,1.0663,81
HELEN KELLER HOSPITAL,10019,READM-30-PN-HRRP,397.0,0.9689,55
HELEN KELLER HOSPITAL,10019,READM-30-HF-HRRP,375.0,0.9281,67
HELEN KELLER HOSPITAL,10019,READM-30-HIP-KNEE-HRRP,398.0,1.1959,21
DALE MEDICAL CENTER,10021,READM-30-COPD-HRRP,98.0,0.9481,12
DALE MEDICAL CENTER,10021,READM-30-PN-HRRP,97.0,0.9938,14
DALE MEDICAL CENTER,10021,READM-30-HF-HRRP,80.0,1.0011,17
BAPTIST MEDICAL CENTER SOUTH,10023,READM-30-AMI-HRRP,331.0,1.0627,62
BAPTIST MEDICAL CENTER SOUTH,10023,READM-30-HIP-KNEE-HRRP,547.0,0.9461,20
BAPTIST MEDICAL CENTER SOUTH,10023,READM-30-HF-HRRP,577.0,0.9656,122
BAPTIST MEDICAL CENTER SOUTH,10023,READM-30-COPD-HRRP,231.0,1.0529,58
BAPTIST MEDICAL CENTER SOUTH,10023,READM-30-PN-HRRP,216.0,1.0365,41
